Statistical profiling result from v8.log, (4752 ticks, 15 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *isUpdateExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:31859:36
      1    0.0%    0.0%  LazyCompile: *isSpecialPropertyDeclaration /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:15191:40
      1    0.0%    0.0%  LazyCompile: *isNarrowingExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:41968:35
      1    0.0%    0.0%  LazyCompile: *isListTerminator /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29734:34
      1    0.0%    0.0%  LazyCompile: *isLeftHandSideExpressionKind /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:12383:40
      1    0.0%    0.0%  LazyCompile: *isInJSFile /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:14906:22
      1    0.0%    0.0%  LazyCompile: *isIdentifier /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:25961:24
      1    0.0%    0.0%  LazyCompile: *isExternalModuleNameRelative /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:11305:40
      1    0.0%    0.0%  LazyCompile: *isDeclaration2 /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:32949:32
      1    0.0%    0.0%  LazyCompile: *isBindingIdentifier /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29215:37
      1    0.0%    0.0%  LazyCompile: *isBindableStaticNameExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:15090:42
      1    0.0%    0.0%  LazyCompile: *hasPrecedingLineBreak /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:9591:30
      1    0.0%    0.0%  LazyCompile: *getStatsFromBinding node:internal/fs/utils:538:29
      1    0.0%    0.0%  LazyCompile: *getRootLength /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:6671:25
      1    0.0%    0.0%  LazyCompile: *getCanonicalFileName /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:118611:34
      1    0.0%    0.0%  LazyCompile: *forEachChildInTypeReference /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:28222:72
      1    0.0%    0.0%  LazyCompile: *forEachChildInPropertyAssignment /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:28175:82
      1    0.0%    0.0%  LazyCompile: *forEachChildInNamedImportsOrExports /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:27769:47
      1    0.0%    0.0%  LazyCompile: *forEachChildInImportDeclaration /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:28422:80
      1    0.0%    0.0%  LazyCompile: *finishNode /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29434:28
      1    0.0%    0.0%  LazyCompile: *escapeLeadingUnderscores /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:11575:36
      1    0.0%    0.0%  LazyCompile: *enter /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:27575:23
